Dates,GSUSFCI Index,CESIUSD Index,value_MORTGAGE30US,value_CCLACBW027SBOG,value_WTISPLC,value_EXPINF1YR,value_STLPPM,value_ECIWAG,value_M2REAL,value_UNRATE,value_PPIACO,value_PCUOMFGOMFG,value_PCUATRANSATRANS,value_PCUATRADEATRADE,value_PCUAWHLTRAWHLTR,value_CSUSHPINSA,value_SPCS20RSA,value_WALCL,value_SP500,value_MEHOINUSA672N,value_T5YIFR,value_FYFSD,value_REAINTRATREARAT10Y,value_SAHMREALTIME,value_POPTHM,Monthly Nominal GDP Index,Monthly Real GDP Index,Advance Estimate From BEA,Business Fixed Investment,Change in inventory investment ($Bil 2009),Change in net exports ($Bil 2009),Current change in private inventories ($Bil 2009),Data releases,Days until advance estimate,Equipment,Exports,Federal Govt,Final Sales,Final Sales to Domestic Purchasers,Final Sales to Private Domestic Purchasers,Final_GDP_Interp,Fixed Investment,Forecast Error,GDP Nowcast,GPDI,Goods exports,Goods imports,Government,Imports,Intellectual Property Products,"Net Exports (current, $Bil 2009)","Net Exports (previous, $Bil 2009)",PCE,PCE Goods,PCE Services,Previous change in private inventories ($Bil 2009),Publication Date of Advance Estimate,Quarter being forecasted,Residential,S&L,Services exports,Services imports,Structures
2016-11-08,99.93,-9.8,3.54,706.2547,45.66,1.90220184,0.24906819,126.6,5443.0,4.7,186.3,183.2,120.9,128.2,131.6,184.231,192.489133323949,4453087.0,2139.56,70840.0,1.89,-584650.0,0.34660933,0.0,325562.0,19103.433,19329.795,,,,,,,,,,,,,,2.775494505494505,,,,,,,,,,,,,,,,,,,,,,
2016-11-09,100.06,-9.0,3.54,706.539,45.66,1.90220184,0.24906819,126.6,5443.0,4.7,186.3,183.2,120.9,128.2,131.6,184.231,192.489133323949,4455087.0,2163.26,70840.0,1.97,-584650.0,0.34660933,0.0,325562.0,19103.433,19329.795,1.9,4.2,21.0,2.0,28.0,Wholesale trade,79.0,5.7,3.3,0.1,2.6,2.5,2.9,2.7641758241758243,4.2,-1.3,3.1,7.4,2.8,2.0,0.4,2.4,5.0,-521.0,-523.0,2.6,3.1,2.4,7.0,27/01/2017,31/12/2016,4.3,0.6,4.1,4.0,0.0
2016-11-10,100.12,-7.9,3.57,706.539,45.66,1.90220184,0.24906819,126.6,5443.0,4.7,186.3,183.2,120.9,128.2,131.6,184.231,192.489133323949,4455087.0,2167.48,70840.0,2.06,-584650.0,0.34660933,0.0,325562.0,19103.433,19329.795,1.9,4.2,21.0,2.0,28.0,Monthly Treasury Statement,78.0,5.7,3.3,-0.6,2.6,2.5,2.9,2.7528571428571427,4.2,-1.2,3.1,7.4,2.8,2.0,0.1,2.4,5.0,-521.0,-523.0,2.6,3.1,2.4,7.0,27/01/2017,31/12/2016,4.3,0.6,4.1,4.0,0.0
2016-11-11,100.15,-6.3,3.57,706.539,45.66,1.90220184,0.24906819,126.6,5443.0,4.7,186.3,183.2,120.9,128.2,131.6,184.231,192.489133323949,4455087.0,2164.45,70840.0,2.06,-584650.0,0.34660933,0.0,325562.0,19103.433,19329.795,,,,,,,,,,,,,,2.741538461538461,,,,,,,,,,,,,,,,,,,,,,
2016-11-14,100.22,-6.3,3.57,706.539,45.66,1.90220184,0.24906819,126.6,5443.0,4.7,186.3,183.2,120.9,128.2,131.6,184.231,192.489133323949,4455087.0,2164.2,70840.0,2.01,-584650.0,0.34660933,0.0,325562.0,19103.433,19329.795,,,,,,,,,,,,,,2.707582417582417,,,,,,,,,,,,,,,,,,,,,,
2016-11-15,100.16,-2.2,3.57,706.539,45.66,1.90220184,0.24906819,126.6,5443.0,4.7,186.3,183.2,120.9,128.2,131.6,184.231,192.489133323949,4455087.0,2180.39,70840.0,1.97,-584650.0,0.34660933,0.0,325562.0,19103.433,19329.795,1.9,4.3,23.0,2.0,29.0,"Retail trade, Import/Export prices",73.0,5.7,3.3,-0.6,2.8,2.7,3.2,2.6962637362637363,4.4,-1.5,3.3,7.9,2.9,2.0,0.1,2.4,5.0,-521.0,-523.0,2.9,4.7,2.1,6.0,27/01/2017,31/12/2016,4.7,0.6,4.1,4.0,0.0
2016-11-16,100.16,-4.4,3.57,706.3966,45.66,1.90220184,0.24906819,126.6,5443.0,4.7,186.3,183.2,120.9,128.2,131.6,184.231,192.489133323949,4453633.0,2176.94,70840.0,2.0,-584650.0,0.34660933,0.0,325562.0,19103.433,19329.795,1.9,4.4,21.0,2.0,27.0,"Industrial production, Producer Price Index",72.0,5.5,3.3,-0.6,2.8,2.7,3.3,2.684945054945055,4.4,-1.5,3.3,7.6,2.9,2.0,0.1,2.3,5.0,-521.0,-523.0,3.0,4.9,2.1,6.0,27/01/2017,31/12/2016,4.5,0.6,4.1,4.0,1.1
2016-11-17,100.19,8.3,3.94,706.3966,45.66,1.90220184,0.24906819,126.6,5443.0,4.7,186.3,183.2,120.9,128.2,131.6,184.231,192.489133323949,4453633.0,2187.12,70840.0,2.03,-584650.0,0.34660933,0.0,325562.0,19103.433,19329.795,1.9,4.5,21.0,2.0,27.0,"Housing starts, Consumer Price Index",71.0,5.7,3.3,-0.6,3.1,3.0,3.6,2.673626373626373,6.0,-1.7,3.6,9.2,2.9,2.1,0.1,2.4,5.0,-521.0,-523.0,3.0,4.9,2.1,6.0,27/01/2017,31/12/2016,10.8,0.6,4.2,4.0,1.2
2016-11-18,100.24,7.9,3.94,706.3966,45.66,1.90220184,0.24906819,126.6,5443.0,4.7,186.3,183.2,120.9,128.2,131.6,184.231,192.489133323949,4453633.0,2181.9,70840.0,2.06,-584650.0,0.34660933,0.0,325562.0,19103.433,19329.795,,,,,,,,,,,,,,2.6623076923076923,,,,,,,,,,,,,,,,,,,,,,
2016-11-21,100.19,5.6,3.94,706.3966,45.66,1.90220184,0.24906819,126.6,5443.0,4.7,186.3,183.2,120.9,128.2,131.6,184.231,192.489133323949,4453633.0,2198.18,70840.0,2.08,-584650.0,0.34660933,0.0,325562.0,19103.433,19329.795,,,,,,,,,,,,,,2.6283516483516483,,,,,,,,,,,,,,,,,,,,,,
2016-11-22,100.18,5.8,3.94,706.3966,45.66,1.90220184,0.24906819,126.6,5443.0,4.7,186.3,183.2,120.9,128.2,131.6,184.231,192.489133323949,4453633.0,2202.94,70840.0,2.05,-584650.0,0.34660933,0.0,325562.0,19103.433,19329.795,1.9,4.5,21.0,2.0,27.0,Existing-home sales,66.0,5.7,3.4,-0.6,3.1,2.9,3.5,2.617032967032967,5.8,-1.7,3.6,9.0,2.9,2.1,0.1,2.4,5.0,-521.0,-523.0,3.0,4.9,2.1,6.0,27/01/2017,31/12/2016,10.0,0.6,4.2,4.0,1.2
2016-11-23,100.22,8.5,4.03,707.1797,45.66,1.90220184,0.24906819,126.6,5443.0,4.7,186.3,183.2,120.9,128.2,131.6,184.231,192.489133323949,4465782.0,2204.72,70840.0,2.1,-584650.0,0.34660933,0.0,325562.0,19103.433,19329.795,1.9,5.0,23.0,2.0,28.0,"Advance durable manufacturing, New home sales/costs",65.0,6.8,3.4,-0.7,3.0,2.9,3.5,2.605714285714286,5.5,-1.7,3.6,9.1,3.0,2.1,0.1,2.5,5.1,-521.0,-523.0,3.0,4.9,2.1,5.0,27/01/2017,31/12/2016,7.1,0.6,4.2,4.0,1.2
2016-11-24,100.22,8.9,4.03,707.1797,45.66,1.90220184,0.24906819,126.6,5443.0,4.7,186.3,183.2,120.9,128.2,131.6,184.231,192.489133323949,4465782.0,2204.72,70840.0,2.1,-584650.0,0.34660933,0.0,325562.0,19103.433,19329.795,,,,,,,,,,,,,,2.594395604395604,,,,,,,,,,,,,,,,,,,,,,
2016-11-25,100.18,9.3,4.03,707.1797,45.66,1.90220184,0.24906819,126.6,5443.0,4.7,186.3,183.2,120.9,128.2,131.6,184.231,192.489133323949,4465782.0,2213.35,70840.0,2.04,-584650.0,0.34660933,0.0,325562.0,19103.433,19329.795,1.9,5.0,17.0,-10.0,17.0,Advance Economic Indicators,63.0,6.7,0.9,-0.6,2.7,2.9,3.5,2.583076923076923,5.5,-1.3,3.1,8.0,-0.8,1.8,0.1,2.2,5.0,-533.0,-523.0,3.0,4.9,2.1,0.0,27/01/2017,31/12/2016,7.1,0.6,4.2,4.0,1.2
2016-11-28,100.18,11.6,4.03,707.1797,45.66,1.90220184,0.24906819,126.6,5443.0,4.7,186.3,183.2,120.9,128.2,131.6,184.231,192.489133323949,4465782.0,2201.72,70840.0,2.01,-584650.0,0.34660933,0.0,325562.0,19103.433,19329.795,,,,,,,,,,,,,,2.549120879120879,,,,,,,,,,,,,,,,,,,,,,
2016-11-29,100.15,16.8,4.03,707.1797,45.66,1.90220184,0.24906819,126.6,5443.0,4.7,186.3,183.2,120.9,128.2,131.6,184.231,192.489133323949,4465782.0,2204.66,70840.0,2.03,-584650.0,0.34660933,0.0,325562.0,19103.433,19329.795,,,,,,,,,,,,,,2.537802197802198,,,,,,,,,,,,,,,,,,,,,,
2016-11-30,100.2,17.8,4.03,711.7193,45.66,1.90220184,0.24906819,126.6,5443.0,4.7,186.3,183.2,120.9,128.2,131.6,184.231,192.489133323949,4446307.0,2198.81,70840.0,2.11,-584650.0,0.34660933,0.0,325562.0,19103.433,19329.795,1.9,3.9,18.0,-11.0,19.0,"GDP (Nov 29), Personal income and outlays",58.0,4.6,0.6,-0.8,2.0,2.2,2.6,2.526483516483516,4.6,-0.6,2.4,7.3,-1.0,1.8,0.1,2.1,4.4,-532.0,-521.0,2.2,5.2,0.8,1.0,27/01/2017,31/12/2016,7.1,0.6,3.7,3.8,1.4
2016-12-01,100.19,18.2,4.08,711.7193,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4446307.0,2191.08,70840.0,2.13,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,1.9,3.7,18.0,-13.0,19.0,"ISM Manufacturing Index, Construction spending",57.0,6.6,1.4,-0.6,2.5,2.7,3.1,2.515164835164835,5.7,-1.0,2.9,8.4,0.1,2.8,0.6,3.1,4.4,-534.0,-521.0,2.5,6.1,0.9,1.0,27/01/2017,31/12/2016,12.4,1.4,4.0,4.2,-3.4
2016-12-02,100.15,24.7,4.08,711.7193,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4446307.0,2191.95,70840.0,2.06,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,1.9,3.0,19.0,-12.0,20.0,"Employment situation, Light vehicle sales",56.0,5.1,0.9,-0.8,2.2,2.4,2.8,2.503846153846154,4.9,-0.8,2.6,7.8,-0.6,2.2,0.5,2.5,4.7,-533.0,-521.0,2.3,5.3,0.8,1.0,27/01/2017,31/12/2016,11.3,1.4,3.8,4.0,-3.7
2016-12-05,100.1,28.7,4.08,711.7193,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4446307.0,2204.71,70840.0,2.09,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,1.9,3.1,19.0,-12.0,20.0,ISM Nonmanufacturing Index,53.0,5.2,1.0,-0.8,2.2,2.4,2.8,2.46989010989011,4.9,-0.8,2.6,7.8,-0.5,2.3,0.5,2.6,4.7,-533.0,-521.0,2.3,5.4,0.8,1.0,27/01/2017,31/12/2016,11.3,1.4,3.9,4.0,-3.7
2016-12-06,100.09,30.1,4.08,711.7193,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4446307.0,2212.23,70840.0,2.1,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,1.9,2.5,19.0,-10.0,20.0,"International trade, M3 Manufacturing",52.0,3.9,1.4,-0.8,2.2,2.3,2.7,2.4585714285714286,4.5,-0.7,2.6,7.4,0.1,2.7,0.5,2.7,4.7,-531.0,-521.0,2.3,5.4,0.8,1.0,27/01/2017,31/12/2016,11.3,1.4,3.9,2.6,-3.7
2016-12-07,99.99,30.1,4.08,711.1669,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4448618.0,2241.35,70840.0,2.06,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,,,,,,,,,,,,,,2.4472527472527474,,,,,,,,,,,,,,,,,,,,,,
2016-12-08,100.02,29.5,4.13,711.1669,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4448618.0,2246.19,70840.0,2.07,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,,,,,,,,,,,,,,2.435934065934066,,,,,,,,,,,,,,,,,,,,,,
2016-12-09,100.03,30.2,4.13,711.1669,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4448618.0,2259.53,70840.0,2.09,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,1.9,2.5,18.0,-10.0,22.0,Wholesale trade,49.0,3.9,1.4,-0.8,2.2,2.3,2.7,2.4246153846153846,4.5,-0.7,2.6,7.1,0.1,2.7,0.5,2.7,4.7,-531.0,-521.0,2.3,5.4,0.8,4.0,27/01/2017,31/12/2016,11.2,1.4,3.9,2.5,-3.7
2016-12-12,100.02,29.7,4.13,711.1669,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4448618.0,2256.96,70840.0,2.1,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,1.9,2.5,18.0,-10.0,22.0,Monthly Treasury Statement,46.0,3.9,1.4,0.1,2.2,2.4,2.7,2.3906593406593406,4.5,-0.8,2.6,7.1,0.1,2.7,0.9,2.7,4.7,-531.0,-521.0,2.3,5.4,0.8,4.0,27/01/2017,31/12/2016,11.2,1.4,3.9,2.5,-3.7
2016-12-13,99.97,32.6,4.13,711.1669,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4448618.0,2271.72,70840.0,2.04,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,1.9,2.5,18.0,-11.0,22.0,Import/Export prices,45.0,3.9,1.3,0.1,2.2,2.4,2.7,2.3793406593406594,4.5,-0.7,2.6,7.2,0.0,2.8,0.9,2.7,4.7,-532.0,-521.0,2.3,5.4,0.8,4.0,27/01/2017,31/12/2016,11.2,1.4,3.8,2.5,-3.7
2016-12-14,100.06,27.5,4.13,712.1201,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4470973.0,2253.28,70840.0,2.06,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,1.9,2.3,17.0,-11.0,21.0,"Retail trade, Industrial production, Producer Price Index",44.0,3.5,0.9,0.1,2.0,2.2,2.5,2.368021978021978,4.1,-0.6,2.4,6.7,-0.4,2.4,0.9,2.4,4.7,-532.0,-521.0,2.1,4.6,1.0,4.0,27/01/2017,31/12/2016,10.3,1.3,3.6,2.2,-3.8
2016-12-15,100.09,37.0,4.16,712.1201,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4470973.0,2262.03,70840.0,2.02,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,1.9,2.3,17.0,-11.0,21.0,Consumer Price Index,43.0,3.5,1.0,0.1,2.2,2.4,2.7,2.3567032967032966,4.1,-0.7,2.6,6.7,-0.4,2.4,0.9,2.4,4.7,-532.0,-521.0,2.4,5.3,1.0,4.0,27/01/2017,31/12/2016,10.3,1.3,3.6,2.3,-3.7
2016-12-16,100.12,22.9,4.16,712.1201,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4470973.0,2258.07,70840.0,1.97,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,1.9,2.3,17.0,-11.0,21.0,Housing starts,42.0,3.4,0.9,0.1,2.2,2.3,2.6,2.3453846153846154,3.9,-0.7,2.6,6.4,-0.5,2.4,0.9,2.3,4.7,-532.0,-521.0,2.3,5.3,1.0,4.0,27/01/2017,31/12/2016,9.3,1.3,3.6,2.2,-3.7
2016-12-19,100.08,23.2,4.16,712.1201,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4470973.0,2262.53,70840.0,1.98,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,,,,,,,,,,,,,,2.3114285714285714,,,,,,,,,,,,,,,,,,,,,,
2016-12-20,100.08,23.3,4.16,712.1201,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4470973.0,2270.76,70840.0,2.0,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,,,,,,,,,,,,,,2.30010989010989,,,,,,,,,,,,,,,,,,,,,,
2016-12-21,100.08,22.8,4.16,711.2493,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4469089.0,2265.18,70840.0,2.08,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,1.9,2.3,17.0,-11.0,21.0,Existing-home sales,37.0,3.4,0.9,0.1,2.1,2.3,2.6,2.288791208791209,3.7,-0.7,2.5,6.3,-0.5,2.4,0.9,2.3,4.7,-532.0,-521.0,2.3,5.3,1.0,4.0,27/01/2017,31/12/2016,8.6,1.3,3.6,2.2,-3.7
2016-12-22,100.11,21.0,4.3,711.2493,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4469089.0,2260.96,70840.0,2.04,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,1.9,2.3,15.0,-11.0,22.0,"GDP, Personal income and outlays, Advance durable manufacturing",36.0,3.0,1.1,0.2,2.2,2.4,2.7,2.277472527472528,3.7,-0.7,2.5,5.9,-0.3,2.7,0.9,2.6,5.4,-534.0,-522.0,2.5,5.3,1.1,7.0,27/01/2017,31/12/2016,8.6,1.4,3.6,2.2,-3.7
2016-12-23,100.09,25.6,4.3,711.2493,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4469089.0,2263.79,70840.0,2.1,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,1.9,2.2,15.0,-11.0,22.0,New home sales/costs,35.0,3.0,1.1,0.2,2.2,2.4,2.7,2.266153846153846,3.7,-0.7,2.5,6.0,-0.2,2.7,0.9,2.6,5.4,-534.0,-522.0,2.5,5.3,1.1,7.0,27/01/2017,31/12/2016,8.8,1.4,3.6,2.2,-3.8
2016-12-26,100.09,25.6,4.3,711.2493,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4469089.0,2263.79,70840.0,2.1,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,,,,,,,,,,,,,,2.232197802197802,,,,,,,,,,,,,,,,,,,,,,
2016-12-27,100.1,24.5,4.3,711.2493,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4469089.0,2268.88,70840.0,2.1,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,,,,,,,,,,,,,,2.220879120879121,,,,,,,,,,,,,,,,,,,,,,
2016-12-28,100.12,24.3,4.3,711.9613,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4451451.0,2249.92,70840.0,2.05,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,,,,,,,,,,,,,,2.20956043956044,,,,,,,,,,,,,,,,,,,,,,
2016-12-29,100.09,23.9,4.32,711.9613,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4451451.0,2249.26,70840.0,2.07,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,1.9,2.3,30.0,-30.0,38.0,Advance Economic Indicators,29.0,3.0,-0.5,0.2,1.8,2.4,2.7,2.198241758241758,3.8,-0.6,2.5,8.4,-2.7,4.6,0.9,4.1,5.4,-553.0,-522.0,2.5,5.3,1.1,7.0,27/01/2017,31/12/2016,8.8,1.4,3.6,2.2,-3.8
2016-12-30,100.09,23.3,4.32,711.9613,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4451451.0,2238.83,70840.0,2.06,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,,,,,,,,,,,,,,2.186923076923077,,,,,,,,,,,,,,,,,,,,,,
2017-01-02,100.09,23.3,4.32,711.9613,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4451451.0,2238.83,70840.0,2.06,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,,,,,,,,,,,,,,2.152967032967033,,,,,,,,,,,,,,,,,,,,,,
2017-01-03,100.08,24.7,4.32,711.9613,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4451451.0,2257.83,70840.0,2.1,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,1.9,3.6,30.0,-31.0,37.0,"ISM Manufacturing Index, Construction spending",24.0,3.8,0.1,-0.1,2.1,2.8,3.1,2.141648351648352,5.0,-1.0,2.9,9.6,-1.9,5.2,1.1,4.7,5.4,-553.0,-522.0,2.6,5.8,1.2,7.0,27/01/2017,31/12/2016,9.9,1.9,3.9,2.7,0.4
2017-01-04,100.03,25.5,4.32,714.4132,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4453101.0,2270.75,70840.0,2.12,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,,,,,,,,,,,,,,2.1303296703296706,,,,,,,,,,,,,,,,,,,,,,
2017-01-05,99.96,28.9,4.2,714.4132,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4453101.0,2269.0,70840.0,2.07,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,1.9,3.8,29.0,-31.0,36.0,"Light vehicle sales, ISM Nonmanufacturing Index",22.0,4.3,0.1,-0.1,2.2,2.8,3.2,2.119010989010989,5.2,-1.0,2.9,9.7,-1.9,5.2,1.1,4.8,5.4,-553.0,-522.0,2.7,6.0,1.2,7.0,27/01/2017,31/12/2016,10.0,1.9,4.0,2.8,0.5
2017-01-06,99.98,27.0,4.2,714.4132,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4453101.0,2276.98,70840.0,2.08,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,1.9,3.5,31.0,-27.0,38.0,"Employment situation, Intl. trade, Manuf. (M3)",21.0,3.8,-1.0,-0.1,2.1,2.7,3.0,2.107692307692308,4.8,-1.0,2.9,9.6,-2.9,4.2,0.9,3.2,5.4,-549.0,-522.0,2.6,5.7,1.1,7.0,27/01/2017,31/12/2016,9.3,1.6,2.8,-1.1,0.2
2017-01-09,99.99,28.5,4.2,714.4132,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4453101.0,2268.9,70840.0,2.05,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,,,,,,,,,,,,,,2.073736263736264,,,,,,,,,,,,,,,,,,,,,,
2017-01-10,100.01,39.3,4.2,714.4132,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4453101.0,2268.9,70840.0,2.06,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,1.9,3.5,32.0,-27.0,40.0,Wholesale trade,17.0,3.8,-1.0,-0.1,2.1,2.7,3.0,2.0624175824175826,4.8,-1.0,2.9,9.8,-2.9,4.2,0.9,3.2,5.4,-549.0,-522.0,2.6,5.7,1.1,7.0,27/01/2017,31/12/2016,9.3,1.6,2.8,-1.1,0.2
2017-01-11,99.98,39.8,4.2,712.9467,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4452509.0,2275.32,70840.0,2.13,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,,,,,,,,,,,,,,2.051098901098901,,,,,,,,,,,,,,,,,,,,,,
2017-01-12,99.97,41.5,4.12,712.9467,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4452509.0,2270.44,70840.0,2.09,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,1.9,3.5,32.0,-25.0,39.0,"Imp./Exp. prices, Treasury Statement",15.0,3.8,-1.0,-0.9,2.1,2.6,3.0,2.03978021978022,4.8,-1.0,2.9,9.8,-2.9,3.9,0.6,3.0,5.4,-547.0,-522.0,2.6,5.7,1.1,7.0,27/01/2017,31/12/2016,9.3,1.6,2.8,-1.1,0.1
2017-01-13,99.96,38.0,4.12,712.9467,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4452509.0,2274.64,70840.0,2.13,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,1.9,3.5,32.0,-25.0,39.0,Retail trade,14.0,3.8,-1.0,-0.9,2.0,2.5,2.9,2.0284615384615385,4.8,-0.9,2.8,9.7,-2.9,3.9,0.6,3.0,5.4,-547.0,-522.0,2.5,5.5,1.1,7.0,27/01/2017,31/12/2016,9.2,1.6,2.8,-1.1,0.0
2017-01-16,99.96,41.2,4.12,712.9467,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4452509.0,2274.64,70840.0,2.13,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,,,,,,,,,,,,,,1.9945054945054943,,,,,,,,,,,,,,,,,,,,,,
2017-01-17,99.91,40.7,4.12,712.9467,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4452509.0,2267.89,70840.0,2.1,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,,,,,,,,,,,,,,1.9831868131868131,,,,,,,,,,,,,,,,,,,,,,
2017-01-18,99.99,39.5,4.12,714.9321,51.97,2.2917332,0.33274967,126.6,5445.7,4.7,188.2,183.9,122.1,128.0,132.4,184.403,193.779921157913,4460758.0,2271.89,70840.0,2.14,-584650.0,0.70045658,-0.07,325742.0,19182.015,19364.941,1.9,3.6,31.0,-25.0,38.0,"Consumer Price Index, Industrial production ",9.0,3.9,-0.8,-0.9,2.1,2.6,3.0,1.971868131868132,4.9,-0.9,2.8,9.7,-2.7,4.1,0.6,3.1,5.4,-547.0,-522.0,2.5,5.6,1.1,7.0,27/01/2017,31/12/2016,9.4,1.6,2.8,-0.9,0.4
